###❝世界语词根❞,❝(完全相同的)世界语词根❞   这一行表示、虽然它具有与实际存在的对应替换字符串相同的优先级、但实际上并不执行字符串(汉字)替换操作。
世界语单词##,中文注释##
adiaŭ,告别
bis,再来！
hura,欢呼
ŭa,哇
kia,怎样的
tia,那样的
ĉia,所有的
kies,谁的
nenia,无一种
ali,别的
alt,高
bel,美丽
bon,好
jun,年轻
nov,新
sam,同样
fort,强壮
grav,重要
kelk,一些
last,最后
long,长
mult,多量
plen,满
riĉ,富裕
ruĝ,红
facil,容易
grand,大
liber,自由
rapid,快
feliĉ,幸福
proksim,近
fru,早期
pur,纯净
sol,唯一
ver,真实
cert,确定
nigr,黑色
varm,热暖
afabl,和蔼
blank,白色
dolĉ,甜美
neces,必需
propr,特有
simpl,简单
dekstr,右侧
kuraĝ,勇敢
trankvil,安静
blu,蓝
dik,厚
gaj,愉快
hel,亮
kar,亲爱的
lac,疲倦
san,健康
sat,饱满
just,公正
prav,正确
pret,准备好
util,有用
verd,绿
apart,分开
atent,注意
fremd,外来
ĝust,正确
komun,共同
larĝ,宽广
agrabl,愉快
divers,多样
intern,内在
sufiĉ,足够
kontent,满意
profund,深刻
mol,软
pez,重
sek,干燥
brun,棕色
egal,平等
flav,黄色
griz,灰色
kulp,有罪
lert,灵巧
rekt,直
saĝ,聪明
vast,宽广
ceter,余下
freŝ,新鲜
simil,相似
kapabl,能干
serioz,严肃认真
efektiv,实际
ordinar,普通
akr,锐利
fam,著名
ies,某人的
avar,贪婪
dens,密集
eben,平整
fier,自豪
firm,坚固
nepr,必然
plat,平坦
plur,多种
surd,聋
vigl,活跃
fidel,忠实
kviet,宁静
matur,成熟
sankt,神圣
spert,熟练
subit,突然
taŭg,适用
honest,诚实
konven,合适
plur,多种
preciz,精确
strang,奇怪
delikat,精美纤细
ĝentil,有礼
komfort,舒适
pacienc,耐心
special,特别
ĝeneral,普遍
konstant,恒定
lam,跛
mut,哑
nud,裸露
pal,苍白
ruz,狡猾
van,徒劳
acid,酸
glat,光滑
kler,有教养
krud,生
mild,温和
abund,丰富
blind,盲
blond,金发
ĉarm,迷人
etern,永恒
favor,有利
graci,优雅
humil,谦逊
