###❝에스페란토 어근❞, ❝(완전히 동일한) 에스페란토 어근❞   으로 구성된 행은、대응하는 치환 후 문자열이 존재하는 경우와 동일한 우선순위를 가지지만、 실제로는 문자열(한자) 치환을 수행하지 않는 것을 의미합니다.
에스페란토 어근##, 일본어 번역 루비##
adiaŭ,안녕
bis,앙코르
hura,만세!
ŭa,와!
kia,어떤
tia,그런
ĉia,모든
kies,누구의
nenia,어떤~도~아닌
ali,다른
alt,높은
bel,아름다운
bon,좋은
jun,젊은
nov,새로운
sam,같은
fort,강한
grav,중요한
kelk,몇몇의
last,마지막의
long,긴
mult,많은
plen,가득한
riĉ,부유한
ruĝ,빨간
facil,쉬운
grand,큰
liber,자유로운
rapid,빠른
feliĉ,행복한
proksim,가까운
fru,이른
pur,순수한
sol,유일한
ver,진실한
cert,확실한
nigr,검은
varm,뜨거운
afabl,친절한
blank,흰
dolĉ,단맛의
neces,필요한
propr,고유한
simpl,단순한
dekstr,오른쪽의
kuraĝ,용감한
trankvil,평온한
blu,푸른
dik,굵은
gaj,명랑한
hel,밝은
kar,사랑하는
lac,피곤한
san,건강한
sat,배부른
just,정의의
prav,옳은
pret,준비된
util,유용한
verd,초록의
apart,별개의
atent,주의깊은
fremd,외국의
ĝust,정확한
komun,공통의
larĝ,넓은
agrabl,유쾌한
divers,다양한
intern,내부의
sufiĉ,충분한
kontent,만족한
profund,깊은
mol,부드러운
pez,무거운
sek,건조한
brun,갈색의
egal,같은
flav,노란
griz,회색의
kulp,유죄의
lert,능숙한
rekt,곧은
saĝ,현명한
vast,넓은
ceter,나머지의
freŝ,신선한
simil,비슷한
kapabl,유능한
serioz,진지한
efektiv,현실의
ordinar,보통의
akr,예리한
fam,유명한
ies,누군가의
avar,인색한
dens,짙은
eben,평평한
fier,자랑스러운
firm,견고한
nepr,필연적
plat,평평한
plur,여러
surd,귀먹은
vigl,활발한
fidel,충실한
kviet,고요한
matur,성숙한
sankt,신성한
spert,숙련된
subit,갑작스러운
taŭg,쓸모있다
honest,정직한
konven,적합하다
plur,여러
preciz,정확한
strang,이상한
delikat,섬세한
ĝentil,예의 바른
komfort,안락한
pacienc,참을성 있는
special,특별한
ĝeneral,일반적인
konstant,불변의
lam,절름발이
mut,벙어리의
nud,벌거벗은
pal,창백한
ruz,교활한
van,헛된
acid,신맛의
glat,매끄러운
kler,교양 있는
krud,가공되지 않은
mild,온화한
abund,풍부한
blind,맹인의
blond,금발의
ĉarm,매력적인
etern,영원한
favor,호의적인
graci,우아한
humil,겸손한
laŭt,큰소리의
sever,엄격한
stult,어리석은
fortik,견고한
frenez,미친
kurioz,진기한
privat,사적인
sincer,성실한
evident,명백한
oportun,편리한
prudent,신중한
sci/vol##,sci/vol##
diligent,근면한
proksim/um##,proksim/um##
ard,백열의
avid,갈망하는
brav,용감한
ebri,취한
krut,가파른
naiv,순진한
nobl,고귀한
sobr,절제하는
humid,습기 있는
ident,동일한
komik,우스운
kripl,불구의
kruel,잔인한
moder,적당한
sagac,영리한
seren,맑은
sprit,재치있는
akurat,정확한
fervor,열성적인
inklin,경향 있는
ĵaluz,질투하는
kapric,변덕스러운
modern,현대의
modest,겸손한
nenies,아무의 것도 아닌
normal,정상적인
sovaĝ,야생의
ekstrem,극단적인
elegant,우아한
eminent,저명한
komplet,완전한
oficial,공식적인
perfekt,완전한
probabl,있음직한
reciprok,상호의
indiferent,무관심한
inteligent,총명한
amar,쓴
imun,면역의
real,현실의
ties,그것의
unik,유일한
vant,하찮은
virg,순결한
aktiv,활동적
civil,시민의
ĉies,모두의
elast,탄력 있는
human,인간적인
intim,친밀한
kaduk,노후한
