# 第117Rユーザー裁定に基づくマスター側への変更提案(照会用): 国名-ujoの描画列を器に
# 見出し	現行描画列	提案描画列
Abisen/uj/o	Abisen/uj/o	Abisen/器/o
Afgan/uj/o	Afgan/uj/o	Afgan/器/o
Akad/uj/o	Akad/uj/o	Akad/器/o
Akvitan/uj/o	Akvitan/uj/o	Akvitan/器/o
Alban/uj/o	Alban/uj/o	Alban/器/o
Arab/uj/o	Arab/uj/o	Arab/器/o
Armen/uj/o	Armen/uj/o	Armen/器/o
Balt/uj/o	Balt/uj/o	Balt/器/o
Bavar/uj/o	Bavar/uj/o	Bavar/器/o
Belg/uj/o	Belg/uj/o	Belg/器/o
Belorus/uj/o	Belorus/uj/o	Belorus/器/o
Beot/uj/o	Beot/uj/o	Beot/器/o
Bohem/uj/o	Bohem/uj/o	Bohem/器/o
Breton/uj/o	Breton/uj/o	Breton/器/o
Brit/uj/o	Brit/uj/o	Brit/器/o
Bulgar/uj/o	Bulgar/uj/o	Bulgar/器/o
Burgund/uj/o	Burgund/uj/o	Burgund/器/o
Dalmat/uj/o	Dalmat/uj/o	Dalmat/器/o
Dan/uj/o	Dan/uj/o	Dan/器/o
Egipt/uj/o	Egipt/uj/o	Egipt/器/o
Engl/uj/o	Engl/uj/o	Engl/器/o
Eston/uj/o	Eston/uj/o	Eston/器/o
Etiop/uj/o	Etiop/uj/o	Etiop/器/o
Etrusk/uj/o	Etrusk/uj/o	Etrusk/器/o
Fenic/uj/o	Fenic/uj/o	Fenic/器/o
Finn/uj/o	Finn/uj/o	Finn/器/o
Flandr/uj/o	Flandr/uj/o	Flandr/器/o
Franc/uj/o	Franc/uj/o	Franc/器/o
Fris/uj/o	Fris/uj/o	Fris/器/o
Galat/uj/o	Galat/uj/o	Galat/器/o
Galeg/uj/o	Galeg/uj/o	Galeg/器/o
Gall/uj/o	Gall/uj/o	Gall/器/o
Gaskon/uj/o	Gaskon/uj/o	Gaskon/器/o
Grek/uj/o	Grek/uj/o	Grek/器/o
Helvet/uj/o	Helvet/uj/o	Helvet/器/o
Hes/uj/o	Hes/uj/o	Hes/器/o
Hind/uj/o	Hind/uj/o	Hind/器/o
Hispan/uj/o	Hispan/uj/o	Hispan/器/o
Hungar/uj/o	Hungar/uj/o	Hungar/器/o
Iber/uj/o	Iber/uj/o	Iber/器/o
Ital/uj/o	Ital/uj/o	Ital/器/o
Japan/uj/o	Japan/uj/o	Japan/器/o
Jordan/uj/o	Jordan/uj/o	Jordan/器/o
Jorub/uj/o	Jorub/uj/o	Jorub/器/o
Jud/uj/o	Jud/uj/o	Jud/器/o
Jugoslav/uj/o	Jugoslav/uj/o	Jugoslav/器/o
Kabil/uj/o	Kabil/uj/o	Kabil/器/o
Kafr/uj/o	Kafr/uj/o	Kafr/器/o
Kartvel/uj/o	Kartvel/uj/o	Kartvel/器/o
Katalun/uj/o	Katalun/uj/o	Katalun/器/o
Kelt/uj/o	Kelt/uj/o	Kelt/器/o
Kimr/uj/o	Kimr/uj/o	Kimr/器/o
Kirgiz/uj/o	Kirgiz/uj/o	Kirgiz/器/o
Kore/uj/o	Kore/uj/o	Kore/器/o
Kroat/uj/o	Kroat/uj/o	Kroat/器/o
Kurd/uj/o	Kurd/uj/o	Kurd/器/o
Lakon/uj/o	Lakon/uj/o	Lakon/器/o
Lapon/uj/o	Lapon/uj/o	Lapon/器/o
Latv/uj/o	Latv/uj/o	Latv/器/o
Leton/uj/o	Leton/uj/o	Leton/器/o
Ligur/uj/o	Ligur/uj/o	Ligur/器/o
Litov/uj/o	Litov/uj/o	Litov/器/o
Livon/uj/o	Livon/uj/o	Livon/器/o
Lombard/uj/o	Lombard/uj/o	Lombard/器/o
Longobard/uj/o	Longobard/uj/o	Longobard/器/o
Luksemburg/uj/o	Luksemburg/uj/o	Luksemburg/器/o
Makedon/uj/o	Makedon/uj/o	Makedon/器/o
Malagas/uj/o	Malagas/uj/o	Malagas/器/o
Mari/uj/o	Mari/uj/o	Mari/器/o
Meksik/uj/o	Meksik/uj/o	Meksik/器/o
Moldav/uj/o	Moldav/uj/o	Moldav/器/o
Mongol/uj/o	Mongol/uj/o	Mongol/器/o
Normand/uj/o	Normand/uj/o	Normand/器/o
Norveg/uj/o	Norveg/uj/o	Norveg/器/o
Numid/uj/o	Numid/uj/o	Numid/器/o
Okcitan/uj/o	Okcitan/uj/o	Okcitan/器/o
Patagon/uj/o	Patagon/uj/o	Patagon/器/o
Pers/uj/o	Pers/uj/o	Pers/器/o
Pikard/uj/o	Pikard/uj/o	Pikard/器/o
Pol/uj/o	Pol/uj/o	Pol/器/o
Portugal/uj/o	Portugal/uj/o	Portugal/器/o
Prus/uj/o	Prus/uj/o	Prus/器/o
Ruman/uj/o	Ruman/uj/o	Ruman/器/o
Ruten/uj/o	Ruten/uj/o	Ruten/器/o
