-ac-,-科-
-ad-,-継続-
-adien,-ジエン
-al,-方へ
-anc,-量
-ant-,-能動継続-
-antaĵo,-能動物
-ante,-能動副詞
-anto,-能動者
-ar-,-集団-
-at-,-受動継続-
-ataĵo,-受動物
-ate,-受動副詞
-ateco,-受動性
-ato,-アト
-ator,-装置
-az,-アジア
-aĉ-,-劣悪-
-aĵ-,-事物-
-ebl-,-可能-
-ec-,-性質-
-eca,-似た
-ed-,-科-
-eg-,-強大-
-ej-,-場所-
-eja,-場所性
-em,-傾向
-em-,-傾向-
-end-,-必要-
-er-,-粒子-
-esk-,-風-
-estr-,-長-
-et-,-弱小-
-fic,-藻綱
-fit,-植物
-form,-形
-gami,-婚・配偶
-gen,-天才
-gene,-起因
-graf,-記す
-grafio,-記録法
-gram,-グラム
-hav,-持つ
-icid,-殺し
-id-,-子孫-
-ig-,-させる-
-ik-,-学術-
-il-,-道具-
-iliard-,-千倍接尾-
-ilion-,-大数-
-in-,-女性-
-ind-,-値する-
-ine,-亜目名
-ing-,-さや-
-ini,-族名
-int-,-能動完了-
-intaĵo,-完了物
-inte,-完了副詞
-into,-完了者
-ism-,-主義-
-ist-,-従事者-
-it-,-受動完了-
-itaĵo,-受完物
-ite,-受完副詞
-iteco,-受完性
-ito,-受完者
-iv-,-性質-
-iveco,-能力性
-ivo,-能力
-iz-,-化-
-iĝ-,-なる-
-jar,-年
-kap,-頭
-manĝado,-摂食
-metr-,-計-
-metri-,-測定-
-micet,-菌
-mikot,-菌門
-mikoten,-菌亜門
-morf,-形
-nj-,-女性愛称-
-nomial,-項式
-obl,-倍数
-obl-,-倍数-
-oid-,-類似-
-oide,-亜科上科
-ol,-~よりも
-olog-,-学-
-ologi-,-学-
-om,-オーム
-ont-,-能動将然-
-onte,-将然副詞
-onto,-将然者
-op-,-集合数-
-opsid,-植物綱
-ot-,-受動将然-
-otaĵo,-受予定物
-oto,-受予定者
-oz-,-症-
-ozan,-オザン
-peksi,-固定術
-pov-,-可能-
-skop-,-観察-
-skopi-,-検査法-
-skopio,-観察法
-som,-小体
-stomi,-瘻孔
-tet,-破傷風
-tom,-切開器
-tomizi,-切開する
-trop,-向性
-uj-,-容器-
-ul-,-人-
-um-,-不定-
-unt,-仮定分詞
-vora,-食性
-voranto,-食者
-voruloj,-食性群
-ĉj-,-男性愛称-
a-cifer,a-数字
a-japan,a-日本人
a-komik,a-こっけいな
a-ti,a-その
a-vort,a-語
aaron,アロン
abadon,アバドン
abak,そろばん
abandon,委付
abat,修道院長
abatis,逆茂木
abazi,歩行不能
abdik,退位
abdomen,腹部
abdukci,外転
abduktor,外転筋
abel,ミツバチ
abelard,アベラール
aberaci,収差
abevili,アブビル
abi,モミ
abisen,アビシニア
abism,深淵
abiturient,入学資格者
abiŝag,アビシャグ
ablaci,消融
ablativ,奪格
abnegaci,自己放棄
abner,アブネル
abnorm,異常
aboc,アルファベット
abol,廃止
abolici,廃止
abomas,第四胃
abomen,忌み嫌う
abon,予約する
aborigen,原住民
abort,流産
abraham,アブラハム
abrazi,擦過
abrikot,アンズ
abrog,廃止
abrogaci,廃止
abrotan,キダチヨモギ
abrupt,突然の
abruz,アブルッツィ
absces,膿瘍
abscis,横座標
absid,後陣
absint,ニガヨモギ
absolut,絶対の
absolv,赦免
absorb,夢中にさせる
abstemi,節制
abstin,慎む
abstinenc,節制
abstrakt,抽象的な
absurd,非常識な
abu-dabi,アブ-ダビ
abudabi,アブダビ
abuli,意志欠如
abund,有り余るほどの
abutil,アブチロン
abutment,橋台
abuĝ,アブジャ
abĥaz,アブハジア
abĵur,誓って捨てる
abŝalom,アブサロム
ac,科
ace,アセ
acer,カエデ
acerb,酸渋
acet,アセチル
acetabul,寛骨臼
acetil,アセチル
acetilen,アセチレン
aceton,アセトン
acetonuri,アセトン尿
aci,名詞化
acid,酸
acin,腺房
acipenser,チョウザメ
acis,アキス
acor,アゾレス
ad,継続
adam,アダム
adamantin,エナメル質
adapt,適合させる
adaĝ,アダージョ
adekvat,適切
adelaid,アデレード
adelajd,アデレード
adeliland,アデリーランド
aden,腺
adenin,アデニン
adenom,腺腫
adenozil,アデノシル
adenozin,アデノシン
adenozin-tri,アデノシン-三
adept,信奉者
adher,付着
adiabat,断熱
adiant,ホウライシダ
adiaŭ,さようなら
adici,加える
adip,脂肪
adis-abeb,アジス-アベバ
adison,アジソン
adiĝ,アディジェ
adjekt,状況補語
adjektiv,形容詞
adjudant,准尉
adjudik,入札付す
adjunkt,随伴
adjutant,副官
administr,管理する
administraci,管理部門の
administrator,管理者
admir,感嘆する
admiral,海軍大将
admiralitat,海軍本部
admiralt,アドミラルティ
admitanc,アドミタンス
admon,言い聞かせる
adob,日干し煉瓦
adolesk,思春期
adolf,アドルフ
adolt,成人
adon,アドナイ
adonid,フクジュソウ
adonis,アドニス
adopt,養子にする
ador,礼拝する
adrenalin,アドレナリン
adres,住所
adri,アドリア
adrian,アドリアン
adriatik,アドリア海
adsorb,吸着
adstring,収斂
adukci,内転
aduktor,内転筋
adulari,氷長石
adult,姦通
adulter,混入
advekci,移流
advent,待降節
adventic,外膜
adventiv,不定
adverb,副詞
advers,敵対
advokat,弁護士
advokat-konsil,弁護士-助言する
adz,手斧
aed,吟唱詩人
aer,空気
aerobatik,曲芸飛行
aerobik,エアロビクス
aerodin,エアロダイン
aerodrom,飛行場
aerofagi,空気嚥下
aerofor,呼吸器
aerofram,機体
aeronaŭt,気球操縦士
aeronaŭtik,航空術
aerosol,エーロゾル
afabl,愛想のよい
afanipter,ノミ目
afar,アファール
afazi,失語
afekci,作用
afekt,気取り
afeli,遠日点
afer,物事
aferez,語頭音脱落
afgan,アフガン
afganistan,アフガニスタン
afid,アブラムシ
afidavit,宣誓供述書
afided,アブラムシ科
afiks,接辞
afin,類縁
afinaci,精錬
afis,アブラムシ
afiŝ,ポスター
aflikt,深く悲しませる
afor,アフォリズム
afrank,切手を貼る
afrik,アフリカ
afrikans,アフリカーンス
afrikat,破擦音
afrodit,アフロディテ
afrodizi,性欲
aft,アフタ
afust,砲架
ag,行動
aga,アガ
agac,いらだち
agam,アガマ
agamed,アガマ科
agamemnon,アガメムノン
agami,ラッパチョウ
agap,アガペー
agapant,アガパンサス
agar,寒天
agaragar,寒天
agarik,ハラタケ
agat,メノウ
agatid,アガチス
agav,リュウゼツラン
agent,代理人
agentur,代理権
agerat,アゲラタム
agit,扇動する
agl,ワシ
aglaj,アグライア
aglomer,集塊
aglutin,膠着
aglutinin,凝集素
agnat,父系親族
agni,アグニ
agnosk,承認
agnostik,不可知
agnozi,失認
agoni,断末魔
agor,アゴラ
agord,調律する
agr,農地
agrabl,快い
agraf,ホック
agreg,集める
agregaci,アグレガシオン
agregat,集合体
agres,攻撃
agrigent,アグリジェント
agrikol,アグリコラ
agrikultur,農業
agrimoni,キンミズヒキ
agrip,アグリッピナ
agropir,カモジグサ
agrostem,ムギセンノウ
agrostid,ヌカボ
aguti,アグーチ
agvara,タテガミオオカミ
aha,ははあ
aha!,ははあ!
ahasver,アハスエルス
ahims,非暴力
ahur,アフラ
aides,エイズ
aidos,エイズ
aiks,エクス
ailant,ニワウルシ
ain,アイヌ
air,コメススキ
ais,国際科学アカデミー
aizo,アイゾーン
aizoac,ハマミズナ科
ajaks,アイアス
ajapan,アヤパナ
ajatol,アヤトラ
ajl,ニンニク
ajnu,アイヌ
ajug,キランソウ
ajun,アイウン
ajut,ノズル
akab,アカバ
akaci,アカシア
akad,アッカド
akademi,学士院
akant,棘
akantias,アブラツノザメ
akapar,買占める
akar,ダニ
akaĵu,カシュー
akcel,加速する
akcent,アクセント
akcept,受入れる
akcesor,付属
akci,株
akcidenc,偶有性
akcident,事故
akcipitr,タカ
akciz,消費税
ake,アカイア人
akebi,アケビ
aken,痩果
akeron,アケロン
akeronti,メンガタスズメ
akil,アキレス
akile,ノコギリソウ
akir,手に入れる
akirant,イノコズチ
aklam,喝采
akme,極期
akn,にきび
akne,にきび
akoli,無胆汁症
akolit,侍者
akomod,適応
akompan,同行する
akonit,トリカブト
akonitin,アコニチン
akonkagv,アコンカグア
akonti,アコンティアス
akor,ショウブ
akord,一致
akordion,アコーディオン
akori,白癬菌
akr,鋭い
akre,エーカー
akredit,信任
akreditiv,信用状
akrid,バッタ
akrided,バッタ科
akril,アクリル
akrobat,曲芸
akrolein,アクロレイン
akromatopsi,色盲
akromi,肩峰
akropol,アクロポリス
akrostik,折句
akroter,アクロテリオン
akroĥord,ヤスリヘビ
aks,軸
aksel,腋
aksiom,公理
aksis,軸椎
aksolotl,アホロートル
akson,軸索
aksung,豚脂
akt,幕
akte,ルイヨウショウマ
akteon,アクタイオン
aktin,放射
aktini,イソギンチャク
aktinidi,マタタビ属
aktiniid,アクチノイド
aktinist,シーラカンス類
aktinolit,緑閃石
aktiv,活動的な
aktor,俳優
aktual,現行の
aktuar,書記
aktuari,保険数理士
akumul,蓄積
akumulator,蓄電池
akupunktur,鍼治療
akurat,時間・期限を正確に守
akustik,音響
akut,鋭
akuz,告発する
akuzativ,対格
akuŝ,出産する
akv,水
akvafort,エッチング
akvaltir,吸湿性
akvamarin,アクアマリン
akvarel,水彩
akvari,水槽
akvatint,アクアチント
akvedukt,水道橋
akvifoli,セイヨウヒイラギ
akvifoliac,モチノキ科
akvilegi,オダマキ
akvilon,北風
akvin,アクイーノ
akvitan,アキテーヌ
akĉent,訛り
al,方へ
alabam,アラバマ
alabastr,雪花石膏
alah,アッラー
alambik,蒸留器
aland,ウグイ
alanin,アラニン
alantoid,尿膜
alarik,アラリック
alarm,非常招集する
alask,アラスカ
alatern,クロウメモドキ
alaŭd,ヒバリ
alaŭded,ヒバリ科
alb,アルバ
alban,アルバニア
albatros,アホウドリ
albed,アルベド
albert,アルバータ
albigens,アルビ派
albin,アルビノ
albion,アルビオン
albit,曹長石
albizi,ネムノキ属
albug,角膜白斑
albugine,白膜
album,アルバム
albumen,胚乳
albumin,アルブミン
albuminuri,蛋白尿
albumoz,アルブモース
alburn,ブリーク
alce,タチアオイ
alced,カワセミ
alceded,カワセミ科
alcelaf,ハーテビースト
alcestis,アルケスティス
alcibiad,アルキビアデス
alcino,アルキノオス
alcion,カワセミ
alcioni,ウミトサカ
ald,アルト
aldebaran,アルデバラン
aldehid,アルデヒド
aldernej,オルダニー
aldol,アルドール
aldosteron,アルドステロン
ale,並木道
aleator,偶然
alegan,アレゲーニー
alegori,アレゴリー
alegr,アレグロ
aleksandr,アレクサンドル
aleksandri,アレクサンドリア
aleksi,失読
aleksin,アレキシン
alektor,イワシャコ
alel,対立遺伝子
aleman,アレマン
alen,突き針
alenson,アランソン
aler,庇
alergi,アレルギー
aleron,補助翼
alet,翼片
aleut,アリューシャン
alez,リーマ加工
aleĉj,アレチョ
aleŭrit,アブラギリ
aleŭrod,コナジラミ
aleŭroded,コナジラミ科
aleŭt,アリューシャン
alf,ハネガヤ
alfa,アルファ
alfa-dis,アルファ-分散
alfa-helic,アルファ-つるまき線
alfa-korpuskl,アルファ-粒子
alfa-partikl,アルファ-粒子
alfabet,アルファベット
alfenid,アルフェニド
alfons,アルフォンス
alfonsin,アルフォンシーヌ
alfred,アルフレード
alg,藻
algebr,代数
algi,痛み
algid,低体温
algin,アルギン
alginat,アルギン酸塩
algol,アルゴル
algonki,原生代
algoritm,アルゴリズム
algvazil,警吏
alhambr,アルハンブラ
ali,ほかの
alianc,同盟
aliari,ニンニクガラシ
alibi,アリバイ
alic,アリス
alicikl,脂環式
alidad,アリダード
aliel,別様
alien,疎外
alies,他人の
alifat,脂肪族
aligator,ワニ
alil,アリル
aliment,扶養料
aline,段落
alis,アリッサム
alism,サジオモダカ
alismac,オモダカ科
alit,サンバガエル
