-ac-,-과-
-ad-,-지속-
-adien,-다이엔
-al,-로
-anc,-양
-ant-,-능동진행-
-antaĵo,-능동물
-ante,-능동부사
-anto,-능동자
-ar-,-집단-
-at-,-수동진행-
-ataĵo,-수동물
-ate,-수동부사
-ateco,-수동성
-ato,-아토
-ator,-장치
-az,-아시아
-aĉ-,-열악-
-aĵ-,-사물-
-ebl-,-가능-
-ec-,-성질-
-eca,-유사
-ed-,-과-
-eg-,-강대-
-ej-,-장소-
-eja,-장소성
-em,-경향
-em-,-경향-
-end-,-필요-
-er-,-입자-
-esk-,-풍-
-estr-,-장-
-et-,-작음-
-fic,-조류강
-fit,-식물
-form,-형태
-gami,-혼인
-gen,-천재
-gene,-기인
-graf,-쓰다
-grafio,-기록법
-gram,-그램
-hav,-가지다
-icid,-살해
-id-,-후손-
-ig-,-시키다-
-ik-,-학술-
-il-,-도구-
-iliard-,-천배접미-
-ilion-,-큰수-
-in-,-여성-
-ind-,-가치-
-ine,-아목명
-ing-,-꽂이-
-ini,-족명
-int-,-능동완료-
-intaĵo,-완료물
-inte,-완료부사
-into,-완료자
-ism-,-주의-
-ist-,-종사자-
-it-,-수동완료-
-itaĵo,-수완물
-ite,-수완부사
-iteco,-수완성
-ito,-수완자
-iv-,-성질-
-iveco,-능력성
-ivo,-능력
-iz-,-화-
-iĝ-,-되다-
-jar,-한 해
-kap,-머리
-manĝado,-섭식
-metr-,-계-
-metri-,-측정-
-micet,-균
-mikot,-균문
-mikoten,-균아문
-morf,-형태
-nj-,-여성애칭-
-nomial,-항식
-obl,-배수
-obl-,-배수-
-oid-,-유사-
-oide,-아과상과
-ol,-…보다
-olog-,-학-
-ologi-,-학-
-om,-옴
-ont-,-능동미래-
-onte,-미래부사
-onto,-미래자
-op-,-집합수-
-opsid,-식물강
-ot-,-수동미래-
-otaĵo,-수예정물
-oto,-수예정자
-oz-,-증-
-ozan,-오잔
-peksi,-고정술
-pov-,-가능-
-skop-,-관찰-
-skopi-,-검사법-
-skopio,-관찰법
-som,-소체
-stomi,-누공
-tet,-파상풍
-tom,-절개기
-tomizi,-절개하다
-trop,-향성
-uj-,-용기-
-ul-,-사람-
-um-,-불정-
-unt,-가정분사
-vora,-식성
-voranto,-식자
-voruloj,-식성군
-ĉj-,-남성애칭-
a-cifer,a-숫자
a-japan,a-일본인
a-komik,a-우스운
a-ti,a-그
a-vort,a-말
aaron,아론
abadon,아바돈
abak,주판
abandon,위부
abat,수도원장
abatis,목책
abazi,보행불능
abdik,퇴위
abdomen,복부
abdukci,외전
abduktor,외전근
abel,꿀벌
abelard,아벨라르
aberaci,수차
abevili,아브빌
abi,전나무
abisen,아비시니아
abism,심연
abiturient,대입자격자
abiŝag,아비삭
ablaci,삭마
ablativ,탈격
abnegaci,자기희생
abner,아브넬
