-ac-,-科-
-ad-,-持续-
-adien,-二烯
-al,-向
-anc,-量
-ant-,-主动进行-
-antaĵo,-主动物
-ante,-主动副词
-anto,-主动者
-ar-,-集合-
-at-,-被动进行-
-ataĵo,-被动物
-ate,-被动副词
-ateco,-被动性
-ato,-阿托
-ator,-装置
-az,-亚洲
-aĉ-,-劣质-
-aĵ-,-事物-
-ebl-,-可能-
-ec-,-性质-
-eca,-类似
-ed-,-科-
-eg-,-强大-
-ej-,-场所-
-eja,-场所性
-em,-倾向
-em-,-倾向-
-end-,-必要-
-er-,-粒子-
-esk-,-风格-
-estr-,-首长-
-et-,-弱小-
-fic,-藻纲
-fit,-植物
-form,-形状
-gami,-婚配
-gen,-天才
-gene,-起因
-graf,-书写
-grafio,-记录法
-gram,-克
-hav,-有
-icid,-杀
-id-,-后代-
-ig-,-使役-
-ik-,-学术-
-il-,-工具-
-iliard-,-千倍后缀-
-ilion-,-大数-
-in-,-女性-
-ind-,-值得-
-ine,-亚目名
-ing-,-套-
-ini,-族名
-int-,-主动完成-
-intaĵo,-完成物
-inte,-完成副词
-into,-完成者
-ism-,-主义-
-ist-,-从事者-
-it-,-被动完成-
-itaĵo,-被完物
-ite,-被完副词
-iteco,-被完性
-ito,-被完者
-iv-,-性质-
-iveco,-能力性
-ivo,-能力
-iz-,-化-
-iĝ-,-变成-
-jar,-年
-kap,-头
-manĝado,-取食
-metr-,-计-
-metri-,-测量-
-micet,-菌
-mikot,-菌门
-mikoten,-真菌亚门
-morf,-形
-nj-,-女性昵称-
-nomial,-项式
-obl,-倍数
-obl-,-倍数-
-oid-,-类似-
-oide,-亚科总科
-ol,-比
-olog-,-学-
-ologi-,-学-
-om,-欧姆
-ont-,-主动将来-
-onte,-将来副词
-onto,-将来者
-op-,-集合数-
-opsid,-植物纲
-ot-,-被动将来-
-otaĵo,-将被物
-oto,-将被者
-oz-,-症-
-ozan,-聚糖
-peksi,-固定术
-pov-,-能-
-skop-,-观察-
