root_nosl,level,deployed_decomp,flag
ano,1,an/o,NEEDS_TRANS
aro,1,ar/o,
aĵo,1,aĵ/o,
ebla,1,ebl/a,
eco,1,ec/o,
ejo,1,ej/o,
ema,1,em/a,
estro,1,estr/o,
ha!,1,ha!,
ho!,1,ho!,
ido,1,id/o,
igi,1,ig/i,
ilo,1,il/o,
inda,1,ind/a,
ino,1,in/o,
ismo,1,ism/o,
iĝi,1,iĝ/i,
ujo,1,uj/o,
ulo,1,ul/o,
a,1.77,a,NEEDS_TRANS
ajn,1.77,ajn,NEEDS_TRANS
al,1.77,al,
almenaŭ,1.77,almenaŭ,
ambaŭ,1.77,ambaŭ,
ankaŭ,1.77,ankaŭ,
ankoraŭ,1.77,ankoraŭ,
anstataŭ,1.77,anstataŭ,NEEDS_TRANS
antaŭ,1.77,antaŭ,
apenaŭ,1.77,apenaŭ,
apud,1.77,apud,
aŭ,1.77,aŭ,
baldaŭ,1.77,baldaŭ,
bo,1.77,bo,
cent,1.77,cent,
da,1.77,da,
de,1.77,de,
dek,1.77,dek,
do,1.77,do,
du,1.77,du,
dum,1.77,dum,
e,1.77,e,NEEDS_TRANS
ek,1.77,ek,
ekster,1.77,ekster,
el,1.77,el,
en,1.77,en,NEEDS_TRANS
et,1.77,et/,
eĉ,1.77,eĉ,
for,1.77,for,
hieraŭ,1.77,hieraŭ,
hodiaŭ,1.77,hodiaŭ,
ia,1.77,ia,
iam,1.77,iam,
ie,1.77,ie,
ili,1.77,ili,
inter,1.77,inter,
io,1.77,io,
iom,1.77,iom,
iu,1.77,iu,
j,1.77,j,NEEDS_TRANS
ja,1.77,ja,
jam,1.77,jam,
je,1.77,je,
jen,1.77,jen,
jes,1.77,jes,
kaj,1.77,kaj,
ke,1.77,ke,
kia,1.77,kia,
kial,1.77,kial,
kiam,1.77,kiam,NEEDS_TRANS
kie,1.77,kie,
kiel,1.77,kiel,
kies,1.77,kies,
kio,1.77,kio,
kiom,1.77,kiom,
kiu,1.77,kiu,
kontraŭ,1.77,kontraŭ,
krom,1.77,krom,
kun,1.77,kun,
kvankam,1.77,kvankam,
kvar,1.77,kvar,
kvazaŭ,1.77,kvazaŭ,
kvin,1.77,kvin,
la,1.77,la,NEEDS_TRANS
laŭ,1.77,laŭ,
li,1.77,li,
mem,1.77,mem,
mi,1.77,mi,
mil,1.77,mil,
morgaŭ,1.77,morgaŭ,
n,1.77,n,NEEDS_TRANS
naŭ,1.77,naŭ,
ne,1.77,ne,
nek,1.77,nek,
nenia,1.77,nenia,
neniam,1.77,neniam,
nenie,1.77,nenie,
nenio,1.77,nenio,
neniu,1.77,neniu,NEEDS_TRANS
ni,1.77,ni,
nu,1.77,nu,
nun,1.77,nun,
nur,1.77,nur,
o,1.77,o,NEEDS_TRANS
ok,1.77,ok,
ol,1.77,ol,
oni,1.77,oni,
per,1.77,per,
plej,1.77,plej,
pli,1.77,pli,
plu,1.77,plu,
por,1.77,por,
post,1.77,post,
preskaŭ,1.77,preskaŭ,
pri,1.77,pri,
pro,1.77,pro,
se,1.77,se,
sed,1.77,sed,
sen,1.77,sen,
sep,1.77,sep,
ses,1.77,ses,
si,1.77,si,
sub,1.77,sub,
super,1.77,super,
sur,1.77,sur,
tamen,1.77,tamen,
tia,1.77,tia,
tial,1.77,tial,
tiam,1.77,tiam,
tie,1.77,tie,
tiel,1.77,tiel,
tio,1.77,tio,
tiom,1.77,tiom,
tiu,1.77,tiu,
tra,1.77,tra,
trans,1.77,trans,
tre,1.77,tre,
tri,1.77,tri,
tro,1.77,tro,
tuj,1.77,tuj,
u,1.77,u,NEEDS_TRANS
unu,1.77,unu,
vi,1.77,vi,
ĉar,1.77,ĉar,
ĉe,1.77,ĉe,
ĉi,1.77,ĉi,
ĉiam,1.77,ĉiam,
ĉie,1.77,ĉie,
ĉio,1.77,ĉio,
ĉirkaŭ,1.77,ĉirkaŭ,
ĉiu,1.77,ĉiu,
ĉu,1.77,ĉu,NEEDS_TRANS
ĝi,1.77,ĝi,
ĝis,1.77,ĝis,
ĵus,1.77,ĵus,
ŝi,1.77,ŝi,
resto,2,rest/o,
afero,2.27,afer/o,
alia,2.27,ali/a,
alta,2.27,alt/a,
ami,2.27,am/i,
amiko,2.27,amik/o,
bela,2.27,bel/a,
bona,2.27,bon/a,
demandi,2.27,demand/i,
devi,2.27,dev/i,
deziri,2.27,dezir/i,
diri,2.27,dir/i,
doni,2.27,don/i,
esti,2.27,est/i,
facila,2.27,facil/a,
fari,2.27,far/i,
feliĉa,2.27,feliĉ/a,
fini,2.27,fin/i,
flanko,2.27,flank/o,
fojo,2.27,foj/o,
formo,2.27,form/o,
forta,2.27,fort/a,
granda,2.27,grand/a,
grava,2.27,grav/a,
havi,2.27,hav/i,
helpi,2.27,help/i,
homo,2.27,hom/o,
infano,2.27,infan/o,
iri,2.27,ir/i,
jaro,2.27,jar/o,
juna,2.27,jun/a,
kampo,2.27,kamp/o,
kapo,2.27,kap/o,
kelka,2.27,kelk/a,
